timestamp,leg_id,status,entry_time,future_side,future_entry,future_exit,short_strike,short_type,short_entry_premium,short_exit_premium,long_strike,long_type,long_entry_premium,long_exit_premium,fut_pnl,short_pnl,long_pnl,realized_pnl
2026-07-07T12:38:57.106481,L1,CLOSED,2026-07-07T11:22:30.327457,SHORT,24552,24500,24250,PE,139.55,151,24950,CE,14.55,11.45,3380,-744.25,-201.5,2434.25
2026-07-08T15:00:13.315496,L13_20260708,CLOSED,2026-07-08T14:51:46.885892,LONG,23850,23903.9,24150,CE,192.1499939,208.8,22600,PE,11.80000019,10.15,3503.5,-1082.250397,-107.2500124,2314
2026-07-09T10:30:21.314905,L12_20260708,CLOSED,2026-07-08T14:41:11.383689,LONG,23900,24067,24200,CE,191.8999939,217.3,22700,PE,11.75,4.65,10855,-1651.000397,-461.5,8742.5
2026-07-09T10:30:21.317800,L11_20260708,CLOSED,2026-07-08T14:09:59.142163,LONG,23950,24067,24250,CE,189.0500031,195,22750,PE,11.80000019,5.05,7605,-386.7498016,-438.7500124,6779.5
2026-07-09T10:30:21.319484,L10_20260708,CLOSED,2026-07-08T14:02:50.908800,LONG,24000,24067,24300,CE,183.1499939,174.5,23000,PE,11.55000019,7.2,4355,562.2496033,-282.7500124,4634.5
2026-07-09T10:41:24.069518,L9_20260708,CLOSED,2026-07-08T13:59:41.301223,LONG,24047.9,24110,24350,CE,164.9499969,163.9,23100,PE,10.80000019,7.05,4036.5,68.24980164,-243.7500124,3861
2026-07-09T10:42:00.108099,L8_20260708,CLOSED,2026-07-08T13:59:40.237862,LONG,24047.9,24150,24350,CE,164.9499969,177.5,23150,PE,11.94999981,7.2,6636.5,-815.7501984,-308.7499876,5512
2026-07-09T11:26:22.355922,L15_20260709,CLOSED,2026-07-09T10:49:52.607432,LONG,24050,24100,24350,CE,148.6499939,157.75,23250,PE,11.44999981,8.9,3250,-591.5003967,-165.7499876,2492.75
2026-07-10T10:40:48.632759,L17_20260709,CLOSED,2026-07-09T15:05:30.525783,LONG,23988.4,24225.5,24300,CE,141.9499969,211.95,23300,PE,11.05000019,11.05000019,15411.5,-4550.000198,0,10861.5
2026-07-10T10:40:48.636831,L16_20260709,CLOSED,2026-07-09T15:00:15.428534,LONG,24048,24225.5,24350,CE,140,188.3,23350,PE,10.80000019,10.80000019,11537.5,-3139.5,0,8398
2026-07-10T10:40:48.638467,L14_20260709,CLOSED,2026-07-09T10:46:21.162354,LONG,24096.6,24225.5,24400,CE,147.1000061,147.1000061,23350,PE,12,12,8378.5,0,0,8378.5
2026-07-10T10:40:48.640082,L7_20260708,CLOSED,2026-07-08T13:48:01.494449,LONG,24147,24225.5,24450,CE,140.25,140.25,23400,PE,11.55000019,11.55000019,5102.5,0,0,5102.5
2026-07-10T14:48:57.164797,L6_20260708,CLOSED,2026-07-08T13:47:05.046933,LONG,24185.3,24264.3,24500,CE,130.3000031,131.2,23550,PE,10.89999962,6.35,5135,-58.49980164,-295.7499752,4780.75
2026-07-13T12:14:01.726087,L19_20260713,CLOSED,2026-07-13T10:40:24.745147,LONG,24148.2,24211.2,24450,CE,120.8000031,138.6,23050,PE,11.80000019,11.5,4095,-1157,0,2938
2026-07-13T12:51:39.008241,L18_20260713,CLOSED,2026-07-13T10:40:23.690309,LONG,24148.2,24262,24450,CE,120.8000031,159,23050,PE,11.80000019,11.4,7397,-2483,-6.5,4907.5
2026-07-13T14:15:32.656697,L20_20260713,CLOSED,2026-07-13T13:29:23.065459,LONG,24200,24250,24500,CE,118.3499985,136.25,23000,PE,11.30000019,10,3250,-1163.5,-84.5,2002
2026-07-15T10:22:27.024812,L24_20260714,CLOSED,2026-07-14T12:29:10.535471,LONG,24050.0,24212.0,24350,CE,118.19999694824219,162.75,23150,PE,11.100000381469727,6.1,10530.0,-2895.75,-325.0,7309.25
2026-07-15T10:22:27.026925,L23_20260714,CLOSED,2026-07-14T10:35:31.353433,LONG,24099.9,24212.0,24400,CE,119.6500015258789,142.0,23200,PE,11.899999618530273,6.55,7286.5,-1452.75,-347.75,5486.0
2026-07-15T10:22:27.030016,L22_20260714,CLOSED,2026-07-14T10:35:30.268092,LONG,24099.9,24212.0,24400,CE,119.6500015258789,142.0,23200,PE,11.899999618530273,6.55,7286.5,-1452.75,-347.75,5486.0
2026-07-15T12:58:37.588059,L28_20260715,CLOSED,2026-07-15T12:58:07.409411,LONG,23993.1,24050.0,24300,CE,121.8499984741211,127.85,23150,PE,11.350000381469727,8.9,3698.5,-390.0,-159.25,3149.25
2026-07-15T14:39:56.163581,L27_20260715,CLOSED,2026-07-15T12:56:52.002935,LONG,24047.1,24100.0,24350,CE,110.6500015258789,121.15,23250,PE,11.25,6.85,3438.5,-682.5,-286.0,2470.0
2026-07-16T10:57:21.114695,L29_20260715,CLOSED,2026-07-15T15:02:18.801877,LONG,24045.8,24198.8,24350,CE,107.9000015258789,107.9000015258789,23350,PE,10.800000190734863,6.4,9945.0,0.0,-286.0,9659.0
2026-07-16T10:57:21.116807,L26_20260715,CLOSED,2026-07-15T12:56:03.635316,LONG,24098.7,24198.8,24400,CE,100.1500015258789,100.1500015258789,23350,PE,12.0,6.4,6506.5,0.0,-364.0,6142.5
2026-07-16T11:00:03.563710,L25_20260715,CLOSED,2026-07-15T12:38:56.012961,LONG,24150.0,24200.0,24450,CE,100.69999694824219,103.4,23400,PE,10.5,7.25,3250.0,-175.5,-211.25,2863.25
